"Table 203.20. Enrollment in public elementary and secondary schools, by region, state, and jurisdiction: Selected years, fall 1990 through fall 2023",,,,,,,,,,,,,,,,,,,,,,,
"Region, state, and jurisdiction",Fall 1990,Fall 2000,Fall 2011,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2016,Fall 2017,Fall 2018,Fall 2019,,Fall 2020,,Fall 2021,,Fall 2022,,Fall 2023,,Percent change in total enrollment,Projected enrollment,Projected enrollment
"Region, state, and jurisdiction",,,,,,,,,,,,,,,,,,,,,2013-23,2019-23,2022-23
1,2,3,4,5,6,7,8,9,10,11,12,12,13,13,14,14,15,15,16,,17,18,19
   United States,"41,216,683","47,203,539","49,521,669","49,771,118","50,044,522","50,312,581","50,438,043","50,615,189","50,685,567","50,694,061","50,796,445",\1\,"49,374,751",\1\,"49,433,092",\1\,"49,618,464",\1\," 49,516,361 ",\1\,-1.1,-2.5,-0.2
Region,,,,,,,,,,,,,,,,,,,,,,,
  Northeast,"7,281,763","8,222,127","7,953,981","7,959,128","7,961,243","7,979,856","7,933,762","7,959,304","7,946,536","7,910,076","7,907,997",,"7,678,941",,"7,612,652",,"7,610,792",,"7,604,203",,-4.5,-3.8,-0.1
  Midwest,"9,943,761","10,729,987","10,573,792","10,559,230","10,572,920","10,560,539","10,555,579","10,538,947","10,523,753","10,491,845","10,440,828",,"10,151,900",,"10,199,317",,"10,177,118",,"10,137,474",,-4.1,-2.9,-0.4
  South,"14,807,016","17,007,261","18,955,932","19,128,376","19,298,714","19,506,193","19,641,472","19,749,816","19,824,469","19,863,988","19,998,517",,"19,485,865",,"19,634,313",,"19,876,617",,"19,862,443",,2.9,-0.7,-0.1
  West,"9,184,143","11,244,164","12,037,964","12,124,384","12,211,645","12,265,993","12,307,230","12,367,122","12,390,809","12,428,152","12,449,103",\1\,"12,058,045",\1\,"11,986,810",\1\,"11,953,937",\1\,"11,912,241",\1\,-2.5,-4.3,-0.3
"
State",,,,,,,,,,,,,,,,,,,,,,,
  Alabama,"721,806","739,992","744,621","744,637","746,204","744,164","743,789","744,930","742,444","739,716","744,235",,"734,559",,"748,274",,"750,923",,"748,650",,0.3,0.6,-0.3
  Alaska,"113,903","133,356","131,167","131,489","130,944","131,176","132,477","132,737","132,872","130,963","132,017",,"129,872",,"129,944",,"130,723",,"131,243",,0.2,-0.6,0.4
  Arizona,"639,853","877,696","1,080,319","1,089,384","1,102,445","1,111,695","1,109,040","1,123,137","1,110,851","1,141,511","1,152,586",,"1,111,500",,"1,133,284",,"1,132,223",,"1,117,630",,1.4,-3.0,-1.3
  Arkansas,"436,286","449,959","483,114","486,157","489,979","490,917","492,132","493,447","496,085","495,291","496,927",,"486,305",,"489,565",,"493,130",,"484,978",,-1.0,-2.4,-1.7
  California,"4,950,474","6,140,814","6,287,834","6,299,451","6,312,623","6,312,161","6,305,347","6,309,138","6,304,266","6,272,734","6,249,005",\1\,"6,064,504",,"5,959,858",\1\,"5,930,473",\1\,"5,924,113",\1\,-6.2,-5.2,-0.1
"
  Colorado","574,213","724,508","854,265","863,561","876,999","889,006","899,112","905,019","910,280","911,536","913,223",,"883,199",,"880,597",,"870,871",,"865,661",,-1.3,-5.2,-0.6
  Connecticut,"469,123","562,179","554,437","550,954","546,200","542,678","537,933","535,118","531,288","526,634","523,690",,"509,058",,"509,748",,"513,513",,"512,652",,-6.1,-2.1,-0.2
  Delaware,"99,658","114,676","128,946","129,026","131,687","134,042","134,847","136,264","136,293","138,405","139,930",,"138,092",,"139,935",,"141,465",,"141,842",,7.7,1.4,0.3
  District of Columbia,"80,694","68,925","73,911","76,140","78,153","80,958","84,024","85,850","87,315","88,493","89,878",,"89,883",,"88,908",,"91,001",,"92,794",,18.7,3.2,2.0
  Florida,"1,861,592","2,434,821","2,668,156","2,692,162","2,720,744","2,756,944","2,792,234","2,816,791","2,832,424","2,846,444","2,858,461",,"2,791,707",,"2,833,186",,"2,870,527",,"2,872,335",,5.6,0.5,0.1
"
  Georgia","1,151,687","1,444,937","1,685,016","1,703,332","1,723,909","1,744,437","1,757,237","1,764,346","1,768,642","1,767,202","1,769,657",,"1,730,015",,"1,740,875",,"1,750,972",,"1,749,701",,1.5,-1.1,-0.1
  Hawaii,"171,708","184,360","182,706","184,760","186,825","182,384","181,995","181,550","180,837","181,278","181,088",,"176,441",,"173,178",,"170,209",,"169,308",,-9.4,-6.5,-0.5
  Idaho,"220,840","245,117","279,873","284,834","296,476","290,885","292,277","297,200","301,186","310,522","311,096",,"307,581",,"314,258",,"317,555",,"316,414",,6.7,1.7,-0.4
  Illinois,"1,821,407","2,048,792","2,083,097","2,072,880","2,066,990","2,050,239","2,041,779","2,026,718","2,005,153","1,982,327","1,943,117",,"1,886,137",,"1,868,482",,"1,852,242",,"1,846,264",,-10.7,-5.0,-0.3
